Corde_number,Fundamental_Frequency,Period
 01.wav,81.8,1.22e-02
 02.wav,89.2,1.12e-02
 03.wav,93.5,1.07e-02
 04.wav,99.6,1.00e-02
 05.wav,105.0,9.52e-03
 06.wav,111.0,9.01e-03
 07.wav,117.8,8.49e-03
 08.wav,124.8,8.01e-03
 09.wav,132.6,7.54e-03
 10.wav,140.3,7.13e-03
 11.wav,150.7,6.64e-03
 12.wav,158.5,6.31e-03
 13.wav,166.2,6.02e-03
 14.wav,177.6,5.63e-03
 15.wav,189.8,5.27e-03
 16.wav,204.2,4.90e-03
