Corde_number,Fundamental_Frequency,Period
 01.wav,193.1,5.18e-03
 02.wav,208.6,4.79e-03
 03.wav,220.7,4.53e-03
 04.wav,232.8,4.30e-03
 05.wav,247.6,4.04e-03
 06.wav,261.1,3.83e-03
 07.wav,275.9,3.62e-03
 08.wav,292.0,3.42e-03
 09.wav,311.6,3.21e-03
 10.wav,329.7,3.03e-03
 11.wav,347.2,2.88e-03
 12.wav,370.1,2.70e-03
 13.wav,389.6,2.57e-03
 14.wav,413.2,2.42e-03
 15.wav,440.1,2.27e-03
 16.wav,465.0,2.15e-03
