Corde_number,Fundamental_Frequency,Period
 01.wav,244.3,4.09e-03
 02.wav,261.8,3.82e-03
 03.wav,275.9,3.62e-03
 04.wav,292.0,3.42e-03
 05.wav,311.6,3.21e-03
 06.wav,329.1,3.04e-03
 07.wav,347.2,2.88e-03
 08.wav,368.8,2.71e-03
 09.wav,390.3,2.56e-03
 10.wav,415.9,2.40e-03
 11.wav,436.0,2.29e-03
 12.wav,464.3,2.15e-03
 13.wav,494.6,2.02e-03
 14.wav,517.5,1.93e-03
 15.wav,551.1,1.81e-03
 16.wav,583.4,1.71e-03
