Corde_number,Fundamental_Frequency,Period
 01.wav,145.0,6.90e-03
 02.wav,154.8,6.46e-03
 03.wav,164.5,6.08e-03
 04.wav,174.6,5.73e-03
 05.wav,184.4,5.42e-03
 06.wav,195.1,5.13e-03
 07.wav,206.6,4.84e-03
 08.wav,219.4,4.56e-03
 09.wav,234.2,4.27e-03
 10.wav,247.6,4.04e-03
 11.wav,261.1,3.83e-03
 12.wav,274.5,3.64e-03
 13.wav,293.4,3.41e-03
 14.wav,308.2,3.24e-03
 15.wav,327.4,3.05e-03
 16.wav,348.2,2.87e-03
