Corde_number,Fundamental_Frequency,Period
 01.wav,326.0,3.07e-03
 02.wav,347.2,2.88e-03
 03.wav,368.8,2.71e-03
 04.wav,389.6,2.57e-03
 05.wav,413.8,2.42e-03
 06.wav,436.0,2.29e-03
 07.wav,464.3,2.15e-03
 08.wav,492.6,2.03e-03
 09.wav,518.8,1.93e-03
 10.wav,555.2,1.80e-03
 11.wav,582.7,1.72e-03
 12.wav,615.7,1.62e-03
 13.wav,653.4,1.53e-03
 14.wav,691.1,1.45e-03
 15.wav,733.5,1.36e-03
 16.wav,775.2,1.29e-03
